route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"9",11367_13,11367_17180,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17181,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17182,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17183,"9 DO ZAJEZDNI CHOCIANOWICE",,1,9    /03,2418063,0,0
"9",11367_13,11367_17184,"OLECHÓW",,0,9    /04,2418057,0,0
"9",11367_13,11367_17186,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17187,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17188,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17189,"OLECHÓW",,1,9    /04,2418059,0,0
"18",11367_11,11367_1719,"TELEFONICZNA ZAJEZDNIA",,1,18   /07,2418136,0,0
"9",11367_13,11367_17190,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17191,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17192,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17193,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17194,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17195,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17196,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17197,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17198,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17199,"OLECHÓW",,1,9    /04,2418059,0,0
"10A",11367_11,11367_172,"WIDZEW AUGUSTÓW",,0,10   /03,2418310,0,0
"18",11367_11,11367_1720,"RETKINIA",,0,18   /07,2418135,0,0
"9",11367_13,11367_17200,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17201,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17202,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17203,"OLECHÓW",,1,9    /04,2418059,0,0
"9",11367_13,11367_17204,"DW. ŁÓDŹ FABRYCZNA",,0,9    /04,2418058,0,0
"9",11367_13,11367_17205,"9 DO ZAJEZDNI CHOCIANOWICE",,1,9    /04,2418063,0,0
